profile	genome_id	sample_id	overall_status	tech_status	bio_status	total_te_pct	total_te_bp	total_te_source	ltr_total_pct	ltr_total_bp	ltr_known_pct	ltr_known_bp	ltr_unknown_pct	ltr_unknown_bp	tir_pct	tir_bp	helitron_pct	helitron_bp	line_present	line_pct	line_bp	sine_present	sine_pct	sine_bp	notes	tags	missing	teanno_sum	sample_dir
plant	GCA_001633085.1	GCA_001633085.1_Safflower1_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_001633085.1_Safflower1_genomic
plant	GCA_003260385.1	GCA_003260385.1_Cau_v1.0_genomic	FAIL	PASS	FAIL	0.000	0	TOTAL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA		INFO_TOTAL_SOURCE_TOTAL; HARD_FAIL_TOTAL_TE; HARD_FAIL_LTR_TOTAL; HARD_FAIL_TIR; WARN_HELITRON_NOT_REPORTED; WARN_LINE_NOT_REPORTED; WARN_SINE_NOT_REPORTED; WARN_LTR_KNOWN_NOT_REPORTED		/data/NCBI-jieya_EDTA/GCA_003260385.1_Cau_v1.0_genomic/GCA_003260385.1_Cau_v1.0_genomic.fna.mod.EDTA.TEanno.sum	/data/NCBI-jieya_EDTA/GCA_003260385.1_Cau_v1.0_genomic
plant	GCA_003724115.2	GCA_003724115.2_FoenVul1.1_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_003724115.2_FoenVul1.1_genomic
plant	GCA_012066045.3	GCA_012066045.3_ASM1206604v3_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_012066045.3_ASM1206604v3_genomic
plant	GCA_012931725.1	GCA_012931725.1_ASM1293172v1_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_012931725.1_ASM1293172v1_genomic
plant	GCA_016801055.1	GCA_016801055.1_ASM1680105v1_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_016801055.1_ASM1680105v1_genomic
plant	GCA_019454045.1	GCA_019454045.1_ZanBun_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_019454045.1_ZanBun_genomic
plant	GCA_019925795.1	GCA_019925795.1_ASM1992579v1_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_019925795.1_ASM1992579v1_genomic
plant	GCA_020205605.1	GCA_020205605.1_ASM2020560v1_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_020205605.1_ASM2020560v1_genomic
plant	GCA_020205615.1	GCA_020205615.1_ASM2020561v1_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_020205615.1_ASM2020561v1_genomic
plant	GCA_021015155.1	GCA_021015155.1_ASM2101515v1_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_021015155.1_ASM2101515v1_genomic
plant	GCA_021397845.1	GCA_021397845.1_ASM2139784v1_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_021397845.1_ASM2139784v1_genomic
plant	GCA_023525745.1	GCA_023525745.1_ASM2352574v1_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_023525745.1_ASM2352574v1_genomic
plant	GCA_023678885.1	GCA_023678885.1_GZUCM_PCab_1.0_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_023678885.1_GZUCM_PCab_1.0_genomic
plant	GCA_024626585.2	GCA_024626585.2_ASM2462658v2_genomic	FAIL	FAIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	TECH_FAIL: incomplete EDTA output	TECH_MISSING_TEanno.sum; TECH_MISSING_TEanno.gff3; TECH_MISSING_TElib.fa; TECH_MISSING_EDTA.anno/	TEanno.sum; TEanno.gff3; TElib.fa; EDTA.anno/	NA	/data/NCBI-jieya_EDTA/GCA_024626585.2_ASM2462658v2_genomic
